author,title,publisher,keyword,abs,publish_year
"Lo, Patrick; Allard, Bradley; Wang, Na; Chiu, Dickson K. W.",Servant leadership theory in practice: North America's leading public libraries,JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,North America; public librarianship; public libraries; public library management; servant leadership,"This study aims to understand the current North American public library directors' views and perceptions of successful library leadership in the 21st century. It was carried out based around a series of semi-structured interviews with 10 top-level directors of public libraries in the United States and Canada, which were published in the book World's Leading National, Public, Monastery and Royal Library Directors: Leadership, Management: Future of Libraries. The data collection method for this study consisted of narrative analysis of the 10 interviews utilizing Robert Greenleaf's servant leadership theory, which highlights the leader's desire to serve others first and foremost. With the current trends of increased globalization, digitization, and cultural diversity, among others, public libraries need to have leadership focused on creating shared-power environments encouraging collaboration. Analysis of these interviews showed that many of the directors' responses were quite similar to the concepts discussed in servant leadership. The library directors, through their leadership philosophies, benefited in boosting team cohesion, fostering collaboration, increasing creativity, and promoting morality-centered self-reflection amongst leaders, thereby helping their libraries gain and maintain competitive advantage, and improving the overall ethical culture of their organizations. The results of this study would be of interest to library professionals interested in management as well as LIS students who want to understand how library directors view successful traits of library leadership.",2020
"Luo, Lili",Health information programming in public libraries: a content analysis,PUBLIC LIBRARY QUARTERLY,Heath literacy; public library; library programming; outreach,"Health information programs, defined as library programs focusing on health-related topics, are an essential way for public libraries to reach out to their user communities, raising awareness of and interest in healthy lifestyle, promoting access to quality health information, and ultimately enhancing health literacy of the citizenry. This study presents a content analysis of the health information programs provided by a large urban public library system in the past year, seeking to strengthen the professional understanding of how public libraries can contribute to health literacy improvement through effective programming, and help other libraries gain insights on health information program planning and implementation.",2018
"Carrigan, Dennis","Public Libraries, Dual Constituencies, and Marketing",PUBLIC LIBRARY QUARTERLY,public libraries; marketing; constituencies; exchange; segments,"Marketing can be a powerful tool for public libraries. However, to realize marketing's potential, it must be understood. Unfortunately, Marketing is a term used by librarians to mean many different things and therefore has become confusing (Doucett 2008, 1). Replacing confusion with clarity, which is especially important if the goal of marketing is to elicit financial and other support, requires answering two questions: What is marketing, and what is required for marketing to deliver the benefits it is capable of? Answers are sought before when marketing came to mean many different things and ... become confusing.",2015
"Koizumi, Masanori; Widdersheim, Michael M.",Surpassing the business model: a public sphere approach to public library management,LIBRARY REVIEW,Library management; Systematic literature review; Shared value; Public library; Public sphere; Theoretical analysis,"Purpose - The purpose of this paper is to compare the characteristics of the public sphere with those of a shared value approach and better understand the value that public libraries can offer to management theory. Design/methodology/approach - This paper uses two methods. First, this study uses a systematic literature review to identify sources relevant to shared value and the public sphere in public libraries. Next, this study uses comparative theoretical analysis using data gathered from the systematic review to analyse the two theories. Findings - This study successfully describes the similarities and differences between shared value and the public sphere in public libraries. Originality/value - This study elucidates public library innovation from the perspectives of library management and the public sphere concept.",2016
"Arendt, Anne; Fife, Dustin",Impact of public domain resources on public libraries in the United States,JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,CC0; copyright; creative commons; public domain; public libraries,"Ownership and rights issues relating to electronic resources can be a source of angst, confusion and litigation. This is due in part to the automatic copyright many individuals receive, including in the United States, upon creation of an original work. However, there are options available for relaxing these rights. One of these options is Creative Commons Zero. Essentially, Creative Commons Zero permits originators of materials of varying sorts to opt to put their creations into the public domain - waiving all copyright and intellectual rights. The ability for originators of works to place these items into the public domain affects not just that individual, but also all others who might make use of the resources or be affected by others who make use of the resources. One area likely to be both directly and indirectly impacted is libraries. After all, a public library is accessible by the public and contains a collection of materials or records kept for reference or borrowing and is generally funded from public sources. In the United States there are approximately 9225 public libraries (administrative entities) in all 50 states and the District of Columbia (US Census Bureau, 2009). Based on the above, this document researches the awareness, complexity and effects of Creative Commons Zero and related licenses on libraries as perceived by library directors and managers across the United States. In order to accomplish this, a quantitative survey was administered in an anonymous web-based format.",2015
"Macdonald, Anne Therese",Dedicated business centers in public libraries,REFERENCE SERVICES REVIEW,Entrepreneurs; Public libraries; Business reference services; Business services; Library services to business; Pubic library business centers,"Purpose - The purpose of this study is to determine whether or not a dedicated business center within a public library acts as a key success factor in a public library's services to the community entrepreneur. Design/methodology/approach - A questionnaire survey was sent to 88 public libraries with dedicated business centers, and posted to BRASS-L and BUSLIB-L, for input from public libraries without business centers. Interviews with three survey respondents and one local city official followed. Findings - Fifty-seven per cent of all respondents felt that a dedicated business center is very essential or essential to the services provided to the entrepreneurial community. The services most often offered were workshops/seminars/classes, counseling sessions by collaborative agencies and one-on-one research sessions with librarians. The majority of responding libraries collaborated with a community business agency (80 per cent). Fifty-one per cent spend between 6 and 20 hours/month on the collaboration. Research limitations/implications - Since 2007, many of the dedicated business centers in public libraries have closed or been consolidated with other sections and services of a public library. This should be further studied. Further research on librarian expertise in market and industry research is recommended. Originality/value - This study updates the business services associated with public libraries business services since the push in the late 1990s for public libraries to be more active in community economic development.",2015
"Parker, Josie Barnes",POLITICKING FOR THE PUBLIC LIBRARY,JOURNAL OF LIBRARY ADMINISTRATION,politics; power; public; libraries; rural; governance; trustees; community; facilities; library; millage; bond; campaign; politick,"In today's current political environment raising support for millage renewals, bond campaigns or even millage continuations for public libraries is affected by national politics, and a tendency towards tax aversion on principle across the country. The lessons we can learn from the governing boards of small and rural public libraries are worth raising up to a greater national consciousness. Board governance, community consciousness, and facilities management are clear and logical tools that elected boards of public libraries can use to politick for support of libraries.",2016
"Beckett, Edith K.",Influences on New Jersey public library budget requests,BOTTOM LINE,Budgets; Public libraries; Funding decisions; Library directors; Mayors; New Jersey,"Purpose - This research study aims to examine influences on the public library funding decision from the perspectives of New Jersey mayors and public library directors. Design/methodology/approach - Content analysis was used to explore statements of 84 public library directors and 45 mayors about what was most/least effective in a recent library budget request. Findings - Although they may differ on the relative importance of a specific concept, the public library directors and mayors in this study have high levels of agreement about what information is important in the budget decision process. Research limitations/implications - The primary limitations of the findings of this study stem from the reliability of self-reported data and the low response rates. While the researcher believes that the findings and conclusions are valid for the survey respondents, it is less certain that they are valid for all public libraries in New Jersey, and it is not recommended that the conclusions be extended to public libraries outside of the state which differ in state mandates and other circumstances. Practical implications - Understanding more about the factors that can influence library funding decisions provides insight into the very complex public library funding process and may help public library directors and mayors engage in mutually satisfactory budget negotiations. Originality/value - This study contributes to the Library and Information Science research literature on library budgets by examining influences on the public library funding decision, specifically adding the perspectives of mayors and public library directors on a recent budget cycle.",2016
"Lo, Patrick; Ho, Kevin K. W.; Allard, Bradley; Horng, Shih-Chang; Liu, Yan","Reading the city via the public central library in the sociocultural context: A comparative study between the Hong Kong Central Library, Shanghai Library and Taipei Public Library",JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,Central libraries; China; Hong Kong; Taiwan; East Asia; life-long learning; public librarianship; public libraries; questionnaire surveys,"Public libraries across the world are well-known for the promotion of literacy and lifelong learning. However, at the same time, they are important social and community spaces in which community members can engage with each other. With this in mind, this study looks at the ways in which public libraries in China, Taiwan and Hong Kong fulfil these roles in their respective communities. The public libraries chosen for this study were namely: Shanghai Library, Taipei Public Library and Hong Kong Central Library. A total number of 788 responses were collected from all three libraries. Results from the surveys indicated that public libraries in these communities were seen as being important for providing cost-free materials, entertainment, and, especially, contributing to the overall culture of the community at large. Results indicated that the public libraries chosen for this study have social and cultural values alongside its function as an information centre. These findings will be important in understanding the sociocultural roles of public libraries in East Asia.",2019
"Faulkner, Ashley E.",Entrepreneurship resources in US public libraries: website analysis,REFERENCE SERVICES REVIEW,Entrepreneurship; Small businesses; Public libraries; Business librarians; Business; Library websites,"Purpose This paper aims to explore the entrepreneurship resources patrons can discover and/or access on the web pages of the largest 46 US public libraries to assess the strength of public libraries' current support to their entrepreneur-patrons, and where, and by what means, public libraries may wish to expand, or further promote, their support. Design/methodology/approach The author completed a website analysis of the largest 46 US public libraries, as defined by the criteria in the ALA publication The Nation's Largest Public Libraries. Website analysis was completed via a standardized checklist assessment of each library website. Findings Public libraries often have print and electronic resources, meeting spaces and programming that could be of use to entrepreneur-patrons, but these resources are sometimes difficult to discover on library websites. Libraries have strong partnering relationships with other government and nonprofit organizations, but they may wish to expand these partnerships further. Practical implications Public libraries in the US often have multiple support services to offer entrepreneur-patrons. However, if libraries would like to reach entrepreneur-patrons beyond their walls, as well as within them, they may wish to consider further refining the resources both accessible via their website and promoted on it. Originality/value While there are research articles exploring how both academic and public libraries support entrepreneur-patrons, as yet, there has been no in-depth research into how public libraries support their entrepreneur-patrons through not only their in-library offerings but also the materials highlighted and/or available via their website. This research addresses this gap in the literature.",2018
"Roy, Loriene; Barker, Maria; Hidalgo, Lanita L.; Rickard, Frances A.",Public Library Services for Veterans: Selected Brief Case Studies,PUBLIC LIBRARY QUARTERLY,Adult services in public libraries; library outreach programs; library Web sites; veterans,"Public libraries across the country design and deliver programs for military veterans and their families, often collaborating with other organizations and agencies. The examples were assembled from both general and specialized interviews with librarians, and literature and Internet searches, with summaries of programs assembled and written by multiple researchers. The specific limitations on the listing in this article are clearly outlined in the first section. Overall, however, the article provides a good introductory overview of what's going on in veteran's programs and services in America's public libraries in over seventy libraries in forty states. We hope this list of what public libraries have organized or are doing will supply other public librarians with ideas on how to provide new services or enhance their existing ones.",2016
"Bishop, Bradley Wade; Mehra, Bharat; Partee, Robert P., II",The Role of Rural Public Libraries in Small Business Development,PUBLIC LIBRARY QUARTERLY,Economic development; public libraries; rural libraries; small business,"Like all public libraries, rural public libraries in the Appalachian region can play a significant role in the economic development of their communities. Economic development in rural communities potentially benefit from many of the same resources and services all enjoy at public libraries, including free and public Internet access, space, education, question answering, and materials on many business-related subjects. This article reports survey findings of current activities that rural public libraries perform in one state, namely the state of Tennessee, as a case study to apply the lessons and insights to other parts of the United States. The discussion includes assessment of activities and some recommendations to streamline and stimulate all public libraries in conducting this assistance efficiently.",2016
"Boule, M",Examining a Spanish nonfiction collection in a public library,LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,collection development; Spanish; public libraries,"Many areas of the country have seen large growth in their Spanish speaking community. Libraries and other public agencies have redesigned their practices to better serve the needs of these new segments of the population. The urban area chosen for this study has experienced one of the fastest growing Spanish speaking Populations in the country in the last 10 years. In this study, a needs assessment was created for the Spanish speaking Population served by a branch library in a large, urban area. The needs assessment was created with the use of demographic data and an analysis of current library literature. Using the assessment, the current Spanish nonfiction collection of the library was evaluated for both size and content and then compared to the size and content of the English nonfiction collection. This assessment technique is useful to libraries wishing to conduct a needs analysis on a specific group in their Population served. (c) 2006 Elsevier Inc. All rights reserved.",2005
"Chu, Wendy",Library Exposure from the Prior Years: An Examination of Public High School Library Websites,JOURNAL OF ACADEMIC LIBRARIANSHIP,School library websites; School libraries; Public schools; High schools; Information technology; Library instructional technology,"The frequent occurrence of first-year college students showing disinterest and unfamiliarity with basic library resources is a phenomenon experienced by many academic librarians. This article aims to increase understanding of student exposure to the school library, prior to college arrival, by examining the online information and tools from high school libraries. Four hundred ninety-seven (497) public high schools from New York City were surveyed for 1) online presence of their school library programs and 2) the extent of information featured on these school library websites. Findings indicate that many public high schools have not adequately embraced web development for the purpose of educating students about information literacy. (C) 2013 Elsevier Inc. All rights reserved.",2013
"Lloyd, Patrick",The Public Library as a Protective Factor: An Introduction to Library Social Work,PUBLIC LIBRARY QUARTERLY,Social work; vulnerable populations; protective factor; public library; library social work,"Libraries from San Francisco to Washington, D.C. are now employing or housing social workers. As this practice area grows, it is reshaping the way that libraries assist their patrons. Though the work of individual library social workers vary depending on the unique needs of their patrons and communities, there are some social work concepts that remain constant across the country. Conceiving of the library as a protective factor, particularly for vulnerable patrons, can be a helpful lens through which to view the ever changing needs of individuals and communities served by public libraries. Libraries can play a crucial role in the strengthening of their communities by partnering with local service providers and by considering ways to strengthen and expand the resources they offer to patrons.",2020
"Hapel, Rolf",Building A Contemporary Public Library Through Community Engagement: A Personal Journey,PUBLIC LIBRARY QUARTERLY,Community engagement; public Libraries; partnerships; Dokk1; library Development,"This article discusses how a broad understanding of community engagement has influenced the conception, realization, and services of one of the most internationally lauded modern public libraries, Dokk1, opened in 2015 in Aarhus, Denmark. Leveraging the power of networking and partnerships and the engagement of citizens and stakeholders is a key component in the success of the library. Input derived from the engagement process has informed decisions and influenced planning profoundly, contributing to the library's evolution into a significant cultural and communal hub with 1.4 million annual visits from people from all walks of life. The article examines the journey toward this achievement through the lens of the author, who has been a central actor in the decision making and planning processes leading up to Dokk1",2020
"Cahill, Maria; Joo, Soohyung; Howard, Mary; Ingraham Dwyer, Janet; King-Oaks, Krista; Yates, Beth",What is storytime good for and what makes storytime good? A survey of public library directors,JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,Public library; library programs; public library director; storytime programs; children's library programs; survey,"This article reports on the findings from a nationwide survey designed to investigate the perceptions of public library directors with regard to storytime programs. The results indicate that public library directors identify a number of reasons why storytime is important; prime among those are for encouraging children's enjoyment of books, promoting children's early literacy skills, and attracting patrons who might otherwise not participate in library services. The findings suggest that public library directors do not fully recognize how storytime programs might contribute to school readiness. Further, differences in library inputs to support storytime point to disparities based on library size. The implications for practice, education, and research are discussed.",2020
"Gallinger, Elizabeth; Neville, Karen L.",Usability in the Pika discovery layer: an academic and public library case study,ANNALS OF LIBRARY AND INFORMATION STUDIES,Pika; Discovery layer; Public library; Academic library,"The Online Public Access Catalog is often a patron's first introduction to a library and, in some cases, may be their only interaction with the library. Library catalogs have traditionally been clunky, dated, and not particularly easy to use. Discovery layers entered the library market heavily in the late-2000s as a tool to seamlessly display and provide access to library resources. With new offerings from vendors and a number of open source options, libraries now have many options to provide a better interface. Different library types have different needs, and may, therefore, choose different catalogs for their patrons. One discovery layer stands out, however, both for its innovative features and for its ability to be customized to meet the needs of multiple types of libraries. Pika is the open source discovery layer developed by the Marmot Library Network. This paper will look at the experiences of an academic library and a public library and demonstrate how Pika has met the needs of both institutions.",2016
"Arendt, Anne; Morris, Anthony; Stephens, Mary",Public Library Use of Geographic Information Systems in the United States,JOURNAL OF LIBRARY ADMINISTRATION,geographic information systems; public libraries; GIS; library services; community planning; library administration; library planning,"Public libraries are a source of information and resources for the local community, they also play a role in the use of technologies such as geographic information systems (GIS) in that regard. GIS uses maps as output mediums for displaying demographic or similar information, as well as for spatial comparison or spatially based analysis. This is useful for gaining knowledge as well as for decision making. This article reports research into the awareness and use of GIS-type systems in public library settings in hopes of better understanding the benefits, drawbacks, and limitations to use of systems such as these. Primary findings suggest that there continues to exist limited understanding of the capabilities of GIS technology in public libraries and therefore very little demand for it exists in public librarians and patrons alike.",2018
"Engeszer, Robert J.; Olmstadt, William; Daley, Jan; Norfolk, Monique; Krekeler, Kara; Rogers, Monica; Colditz, Graham; Anwuri, Victoria V.; Morris, Scott; Voorhees, Mychal; McDonald, Brenda; Bernstein, Jackie; Schoening, Paul; Williams, Lee",Evolution of an academic-public library partnership,JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,Access to Information; Community-Institutional Relations; Consumer Health Information; Public Libraries; Medical Libraries,"A partnership to improve access to health information via an urban public library system was established in St. Louis, Missouri, in 2011. A multiyear project was outlined that included an information needs assessment, a training class for public library staff, information kiosks at library branches for delivering printed consumer health materials, and a series of health-related programming. The partnership evolved to include social service and community organizations to carry out project goals and establish a sustainable program that met the health and wellness interests of the community.",2016
"Joo, Soohyung; Cahill, Maria",The relationships between the expenditures and resources of public libraries and children's and young adults' use: An exploratory analysis of Institute of Museum and Library Services public library statistics data,JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,Children; Institute of Museum and Library Services; library resources; public library; young adults,"Children's librarians have long recognized the value of libraries for the development of children and adolescents and have championed for appropriate funding to support programs and services targeted to children, adolescents, and families. Using data from the Institute of Museum and Library Services National Public Library Survey, this study examined the relationships between the expenditures and resources of public libraries and children's and young adults' use. Three groups of variables were chosen from the dataset to represent expenditures, resources, and children's and young adults' library use respectively. Correlation analysis results reveal that most of the expenditures and resources variables were significantly correlated with children's and young adults' library use in libraries of all sizes. Further, analyses of material circulation and program attendance rates reveal that children's materials account for more than one-third of total library material circulations and 70% of public library program participants attend programs designed for children. The findings of this study provide empirical evidence to support the investment in library resources and services for children and young adults and are discussed in light of expansion of library services and programming focused on informal learning.",2019
"Pressley, Tara","Public Libraries, Serious Mental Illness, and Homelessness: A Survey of Public Librarians",PUBLIC LIBRARY QUARTERLY,Homelessness and public libraries; serious mental illness,The purpose of this survey was to investigate the perceptions that public librarians have of their user populations with regard to serious mental illness and its relationship to homelessness. The results found that a large number of public librarians experience concerns about the impact of such users upon other users and about the potential violence in these populations. Public librarians who took the survey expressed an interest in learning more about serious mental illness and a wish to achieve greater awareness of serious mental illness that could help them in their interactions with users who are experiencing serious mental illness.,2017
"Spink, Amanda; Alvarado-Albertorio, Frances; Narayan, Bhuva; Brumfield, Jean; Park, Minsoo",Multitasking information behaviour in public libraries - A survey study,JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,information behaviour; multitasking; public libraries; survey,"Multitasking information behaviour is the human ability to handle the demands of multiple information tasks concurrently. When we multitask, we work on two or more tasks and switch between those tasks. Multitasking is the way most of us deal with the complex environment we all live in, and recent studies show that people often engage in multitasking information behaviours. Multitasking information behaviours are little understood, however, and an important area of research for information behaviour research. Our study investigated the multitasking information behaviours of public library users at the Brentwood and Wilkinsburg Public Libraries in Pittsburgh through diary questionnaires. Findings include that some 63.5 percent of library users engaged in multitasking information behaviours, with a mean of 2.5 topic changes and 2.8 topics per library visit. A major finding of our study is that many people in libraries are seeking information on multiple topics and are engaged in multitasking behaviours. The implications of our findings and further research are also discussed.",2007
"Shtivelband, Annette; Spahr, Kimberly S.; Jakubowski, Robert; Laconte, Keliann; Holland, Anne",Exploring STEM-Readiness in Public Libraries,JOURNAL OF LIBRARY ADMINISTRATION,STEM; public libraries; Diffusion of Innovations Theory; informal learning,"Many public libraries are offering Science, Technology, Engineering, and Mathematics (STEM) programing to their patrons. Using data from a national survey of public library professionals, the current study examined the growing STEM movement by measuring STEM-readiness and through the lens of Diffusion of Innovations Theory. Results indicate that most libraries are ready to implement STEM programing. Characteristics of STEM-ready libraries included serving more patrons, having more space, and engaging more often with STEM programing. Such findings suggest that public libraries that have access to resources are more likely to be STEM-ready; whereas, those with fewer resources may need additional support.",2019
