author,title,publisher,keyword,abs,publish_year
"Bae, SoonJa",A Study on the Function of Regional Central Library andCollaborative Role for Community Public Library,Journal of the Korean Library and Information Science Society,Public Library; Public Library Cooperation; Community Public Library; Regional Central Library,"This study is to recognize the function of the regional central library`s role and to address its support to the community public libraries; such is one of the focuses of the revised library law. Through the mixed layer model, the regional central library can contribute to a better cooperation between the national central library and community public library in each region. Regional libraries, under the supervision of regional library service committee, can execute many local enterprises efficiently such as library informatization projects, the associative storage, the regional librarian education and the establishment of information commons through integrating the regional information.",2008
"Kim, Young-Seok",A Study on the Operation and Services of Public Libraries in the U.K.,Journal of the Korean Library and Information Science Society,Public Libraries; Public Library Operation; Public Library Services; British Public Libraries; Friends of the Library,"Following the Industrial Revolution, the United Kingdom achieved political, economic and social development earlier than other countries. The British people, who gained free time, wanted to have library services. Thus, the central government established the Public Libraries and Museums Act in 1850, which was the first in the world. The local government began to establish public libraries using tax income and provided free library services. At present, the operation and services of British public libraries have been developed and are exemplary, compared to South Korea and other developing countries. Thus, this study examined how the central and local governments in the U.K. developed their public library operations and services, and how they operate public libraries.",2009
"Kim, Young-Seok",A Study on the Development of the Architecture of the Public Libraries in the U.K.,Journal of the Korean Biblia Society for Library and Information Science,Public Library; British Public Library; Public Library Architecture,"The British public library services could be provided earlier than other countries as a result of the Industrial Revolution which was started in the U.K. earlier than other countries. Britain has steadily been building public library infrastructure during the last 150 years and currently maintains the highest level of public library services and operation. Until the 20th century, each local government in Britain remodeled other buildings into libraries and adopted a small and simple form of library building to build more libraries and also to help the convenient use of library, while minimizing the cost of library construction. The construction of public libraries of local governments was supported by the Public Libraries(and Museums) Act enacted in 1850. Korea is in an effort to build more public libraries. The study suggests that a small and simple form of library building should be constructed in order to build more public libraries with minimum costs.",2009
"Cho, Chansik",A Study on the Specialization of the Public Libraries,Journal of the Korean Society for Information Management,library management; public library; public library management; library specialization; library services,"As social institution, the public libraries in changing social environment are required to adopt a more systematic and efficient managerial strategy, only to function properly and to achieve the given goal. In this context, the specialization of the public libraries means the provision of information and library services through differentiation and focus strategy, and should be realized for the efficient library management. In order to examine the specialization of the public libraries in Korea, this study builds the theoretical background of the specialization of the public libraries, looks into the current situation of the public libraries, investigates and analyzes the specialization of the public libraries in terms of information and library services, and suggests some recommendation for improvement. By so doing this study aims at enhancing our understanding of the specialization of the libraries as a whole.",2008
"Yoon, Hee; 오선경; 이재민",A Survey of Citizens' Perceptions on Public Libraries in Daegu Metropolitan City,Journal of Korean Library and Information Science Society,Public library; Daegu public library; Library policy; Citizens' perceptions survey,"Regardless of area, public libraries should establish its status as the knowledge and information service center, cultural enjoyment and lifelong learning space in close contact with everyday life. To do this, it is necessary to survey the citizen's perception of the public library. In this study, researchers investigated and analyzed the perception of Daegu citizens including the weight and importance of public libraries, library use status and reasons for non-use, reading program participation and reasons for non-participation, and regions that require new library facilities. Based on these results, researchers suggested the measures to strengthen the infrastructure of public library and to increase its use in conjunction with other relevant data, that is, domestic and international researches, related laws, national reading survey, national cultural infrastructure overview, Daegu citizen survey, Daegu city brand perception survey, and the status of public libraries in national and Daegu Metropolitan City.",2016
"Bok, Lee Sang; Park, Ok Nam; Bae, Kyung-Jae; 류주현",Future Development for Public Libraries in Office of Education- Focusing on Public Libraries in Gyeonggi Provincial Office of Education,Journal of Korean Library and Information Science Society,Public libraries; Public library model; School libraries; Office of education; Creative and intellectual framework,"The purpose of this research is to develop the model for public libraries in Kyeonggi provincial office of education. The study discusses identities and development strategies for public libraries. The study investigates the current status of public libraries as well as cooperative systems between public and school libraries. The study suggests education - centric paradigm, differentiation between school library support and lifelong education, establishment of council by provincial office of education, and space changes for public libraries within the creative and intellectual framework. The study shares thoughts on identities of public libraries in provincial office of education, and will be utilized as the model for future development for public libraries in other provincial office of education.",2013
"Cho, Chansik; Ah, Cho Mi; Oh, Ji-Eun; Oh, Su-Jin; Kim, Won-Jin",A Study on the Volunteer Activity Management of Public Libraries,Journal of the Korean Society for Information Management,public library; voluntary activity; library voluntary activity; library management; public library resources management,"As the volunteer activity has become universal, volunteers of public libraries have also grown both quantitatively and qualitatively. In this context, this study builds a theoretical background on the volunteer activity of public libraries; examines the volunteer activity management of public libraries using survey method including its planning, personal management and administration; and suggests some recommendations to promote the voluntary activity of public libraries. By so doing, this study aims at enhancing our understanding on the volunteer activity management of public libraries.",2009
"Kim, Young-Seok",A Study on the Effective Enhancement of the Public Library Infrastructure in Korea,Journal of Korean Library and Information Science Society,Public Library; Small Library; British Public Library; Public Library Infrastructure,"The number of public libraries in Korea has been dramatically increased over the last 40 years, since the first Korean Libraries Act was passed in 1963. However, the public library infrastructure is still inadequate and there is a big difference between the number of public libraries in Korea and western countries. This result proves that Korea's method of enhancing its public library infrastructure has not been effective. Therefore, this study suggests the building of small, rather than large, public libraries as a more effective means of enhancing the public library infrastructure in Korea - the method adopted in Great Britain.",2007
"Oh, Ji Eun; JEONGDONGYOUL",A Study on Developing of a Leadership Competency Model for Public Library Directors,Journal of the Korean Library and Information Science Society,Public Library; Public Library Director; Leadership of Public Library Director; Competency of Public Library Director; Leadership Competency Model for Public Library Director,"The purpose of this study was to develop a leadership competency model for Korean public library directors which could help the progress of public libraries. Complex methods like contents analysis of precedent studies, FGI with high performers, survey to librarians and directors of public libraries which were affiliated to Seoul Metropolitan Government and validation by specialists were used for this study. As a result, a leadership competency model for Korean public library directors which consists of the 19 components was developed and this model can be used as the criteria for improvement of the leadership competencies of Korean public library directors.",2016
"Oh, Ji Eun; JEONGDONGYOUL",A Study on Measuring the Levels of Competency Components of Public Library Directors,Journal of the Korean Library and Information Science Society,Public Library; Public Library Director; Leadership of Public Library Director; Competency of Public Library Director; Leadership Competency Level of Public Library Director,"The purpose of this study was to measure Korean public library directors’ current levels of the competency components which were suggested in a leadership competency model and to analyze the effects of several variables on the competency components. Survey to total librarians and directors of public libraries which are affiliated to Seoul Metropolitan Government and statistical hypothesis testing like t-testing and one-way ANOVA were used for this study. As a result, the current levels of 19 competency components of Korean public library directors and the effects of seven variables; sex, major, librarian certification, academic ability, years worked (as a librarian, as a public library librarian, as a public library director, as a librarian at a present library), the size of a library and measuring group were presented and analyzed, which can be used as the criteria for improvement of the leadership competencies of Korean public library directors.",2016
"Shin, Bae-Jae; Seung-Jin, Kwak，",Analysis of Influence Factors Public Library Evaluation: Public Libraries In Chungcheongnam-do,Journal of the Korean Library and Information Science Society,Public Library; Library Evaluation; Library Policy; Chungnam Library,"In this Analysis using the evaluation data of public libraries located in Chungcheongnam-do, we compared and analyzed whether there was a difference in the average between the evaluation groups according to the size and institution of the public library, and analyzed the factors influencing the number of visitors to public libraries. The research data used public library evaluation data conducted in Chungcheongnam-do in 2020, and four areas of quantitative evaluation and nine detailed items were set as independent variables. Statistical analysis methods were T-test, ANOVA, and Regreesion. As a result of the analysis, it was found that there was a significant difference in the average of the evaluation group according to the affiliated organization and size. In addition, the factors affecting the number of visitors to public libraries were analyzed and presented. Implications were derived based on the analysis results, and can be used as a basis for establishing public library policies in the future.",2020
"Kwak, Chul-Wan",A Study of Factors for Public Library Space Needs,Journal of Korean Library and Information Science Society,Public Library; Public Library Space Needs; Needs Assessments; Questionnaire; Public Library Architecture,"The purpose of this study is to identify factors for library space programs through user needs assessments in order to apply a library construction. Research method used was a questionnaire and subjects were residents and library users lived in Yongin where a new library was constructing. The results show that library use behavior, age, and user companions are identified as factors to influence to both functional space ratio and functional space arrangement. Reading in libraries is major activity and many subjects went to library with family so that family space is needed. Space for variable ages, also, is needed because of different needs based upon ages.",2005
"Kwak, Chul-Wan",A Suggestion for Future Public Libraries,Journal of Korean Library and Information Science Society,public libraries; public library role; book cafe; information service; Internet use instruction,"The purpose of this study is to suggest for future public libraries in the knowledge information society. The development of Internet requires to change the role of information service in public libraries, and the change of social circumstance requires the role of public libraries as cultural spaces. For the future public libraries, the suggestions are that public libraries provide an instruction for users in order to get information through Internet. Next, public libraries provide comfortable, safe, luxury space in order to create regional culture so that users can get experience high culture, and use the space as cultural living zone.",2004
"Kim, Young-Seok",A Study on the Comparison of the Operation of Public Libraries Among Local Governments in Seoul,Journal of Korean Library and Information Science Society,Public Library; Public Library Operation; Public Library Services; Public Library Budget; Financial Independence,"This study examined whether there is a correlation between the degree of the financial independence and the establishment and operation of public libraries in 25 local governments in Seoul. It was revealed that there is an inverse correlation between them. According to the results, differently than expected, the local governments with low degree of financial independence generally built and operate more public libraries and assign more library budgets than the local governments with high degree of financial independence. It can be concluded that the local governments with low degree of financial independence show more interest in building and operating public libraries.",2011
"Lee, Yongjae",A Study on Providing Business Information of Public Libraries : Focused on the Public Libraries of USA,Journal of Korean Library and Information Science Society,Public libraries; Mission; Job information; Business information; Business information services; Library marketing; American public libraries,"This study was done to provide the ways for public libraries to support customers' business activities. Research methods such as case study, participant observation, interviews in public libraries of USA were proceeded. And also interviews with some Korean librarians were done to suggest ways to develop business information services of the public libraries in Korea.",2013
"Chung,, Ok-Kyung; Lee, Mi Sun",A Study on the Korean Public Library Service Using Podcast,Journal of the Korean Biblia Society for Library and Information Science,Podcast; Public Library; Korean Public Library; Public Library Service; Incheon Yulmok Library; Yulmok DotoriPod,"The purpose of this study is to investigate and analyze the actual case of service about how podcasts are provided in domestic and foreign public libraries and to suggest the possibility of expanding the service field using podcasts in domestic public libraries. As a result, foreign public libraries provided library events and use guides, book reviews, library promotions, information and contents, and often provided podcasts by age and library news. But the utilization rate of podcasts in domestic public libraries was low. A Podcasts of domestic public libraries were introducing to new books and recommending books. In the Incheon Yulmok Library, conducted a podcast program that librarians directly read the passages in the book and recommend new books. As a result, the book borrowing and utilization rate of the books have increased. In this way, domestic public libraries should apply podcasts to provide useful information to users and expand service area through various contents development that can increase motivation and interest.",2017
"Rho, Jeehyun; Ju, Lee Eun; Cho, Yongwan",A Feasibility Study of Public Libraries Remodeling: Focusing on Busan Metropolitan City,Journal of Korean Library and Information Science Society,Public library remodeling; Public library modernization; Public library renovation; Feasibility study,"Old-age public libraries constructed in the 1970s and 1980s are exposed to safety problems and user complaints due to facility aging. For this reasons, demands and in-depth discussions for the remodeling of old public libraries are on the rise. The Korean Committee on Library and Information Policy has set this issue as a major initiative, and local governments are also interested in establishing an action plan. The purpose of this study is to analyze the feasibility for remodeling of 8 obsolete public libraries in Busan metropolitan city. In details, this study analyzes the libraries that need to be remodeled with the reasonable grounds, and suggests in what order and manner the remodeling should proceed. The data were collected from literature review, on site field survey, and questionnaire survey targeting librarians and library users. The final conclusions were verified through working-level meetings and experts’ advise.",2017
"man-soo, Lee",A Study on the PR Strategy of Public Library,Journal of Korean Library and Information Science Society,PR; PR Strategy; Public Library PR; PR Strategy of Public Library,"It is thought that the various PRs of public library are the PR within the jurisdiction, outside the jurisdiction, by print media, by audio-video media, by fixture, by event, by media outlet, by campaign, through cyber space, and through associated organization. But the strategy of PR from this study is followed. First, the team for PR should be organized. Second, the librarian for PR should be distributed. Third, the budget for PR should be raised. Forth, the organizations of community should be made the full use of for PR. Fifth, the media outlet of the community should be made the best use of. Sixth, the news letter published by public library should be utilized. Seventh, the internet homepage of public library should be made good use of.",2007
"Ae, Kim Sun",A Comparative Analysis of the Performance Evaluation System for Public Libraries,Journal of the Korean Biblia Society for Library and Information Science,Public Library; Public Library Evaluation; Library Evaluation Model; Library Performance Measurement,"In a rapidly changing environment, public libraries need performance measures that can comprehensively represent their activities in order to respond to various changes, demonstrate social value, and justify input resources. However, most of the performance evaluations have been focused on specific areas or specific analysis methods. Therefore, this study looked at the efforts of advanced countries of overseas libraries to develop performance evaluation tools for public libraries in order to develop performance management tools for domestic public libraries. The implications were derived by reviewing and analyzing the direction, evaluation system, and major performance evaluation areas of public library performance evaluation. The main result was that the perspective of public library performance evaluation was shifting from input-output-oriented to outcome or impact, and the performance evaluation area was linked to the development strategy of public libraries or the role of the library. And, the government and institutions were working together to establish an evaluation system for performance management of public libraries.",2020
"Lee, Seongsin",Applications of Geographic Information Systems in Public Library Marketing,Journal of the Korean Society for Information Management,GIS; public library collection selection; public library service; market research; customer analysis; public library marketing,"The purpose of this study is to investigate the implications that GIS(Geographic Information Systems) can have in public library collection selection and service development from a marketing perspective. GIS is a computer system capable of assembling, storing, manipulating, and displaying geographically referenced information. Through the understanding and utilization of GIS, we can collect geographical, transportation, political, legal, demographic, economic, social, cultural, educational, and recreational information of the community. Public libraries can utilize GIS for market research, including customer analysis to select library collection and develop library service based on library users' needs. As a result, public libraries can find a way to make a lasting relationship with users which is the final goal of marketing activities.",2011
"ChangWookwon; Park, Seong-Woo",A Study on the Assessment Model of Intellectual Capital of the Public Library,Journal of Korean Library and Information Science Society,Intellectual capital; Public library's values; Public library's core competency; Public library's intellectual capital; Public library's assessment index,This research works out a design for the assessment model of intellectual capital of the public library based the intellectual capital and assessment index. The public library is created by the intellectual & social capital through knowledge & information service. This study presented core competencies and index and was examined on applicability the assessment model in the public libraries. The result of this research was looked forward to help to index of quantitative and qualitative assessment in values and competencies for libraries' environment.,2012
"Kwon, Nahyun",A National Study of Perceived Outcomes of Public Library Services: Measuring the Perceived Benefits of Public Library Services among Korean Adult Library Users,Journal of the Korean Library and Information Science Society,Public Library Performance Evaluation; Perceived Outcomes,"The purpose of this study was to assess the performance of Korean public libraries based on the national representative sample using Vakkari and Serola’s (2012) public library outcome scale. Conducting a web-based survey to 1,000 Korean adults nationwide, the responses of 629 respondents who had visited the public library in the past year were analyzed. Results showed that, among the 19 benefit areas, “reading fiction and non-fiction” was the most perceived benefit area followed by “acquiring educational opportunities”, and “self-development during leisure time”. The benefits were considerably lowly perceived in the rest 16 areas. Different from the original four-factor structure, “reading/self development” were emerged as a new factor in this Korean sample. The benefits were perceived differently by citizens with different socio-demographic backgrounds. Results informed the current status of the public library performance and values perceived by the general Korean adults population across the nation.",2015
"Lee, Yongjae",A Study on Marketing Strategies of Public Libraries - Focused on New York Public Libraries -,Journal of Korean Library and Information Science Society,Public Libraries; Marketing; Customer Segmentation; Network Marketing; Library Mission,"This study aims to provide marketing strategies for the public libraries in Korea. For this purpose, this study focused on four public libraries in New York, USA, which have been providing the most excellent library services on the world. And this study examined what efforts these libraries have been making for the development of community and information needs of customers. The data for this study were collected by literature review, participant observation at the public libraries in New York, and gathering law materials. And in-depth interviews with the librarians and related professionals in New York and Korea were also proceeded. As a result, this study suggested marketing strategies for the management of public libraries in Korea.",2012
"Cho, Chansik",A Study on the Volunteer Activity Management of Public Libraries: A Case of Kwangjin Public Library,Journal of Information Management,Public Library; Volunteer Activity; Public Library Volunteer Activity; Kwangjin Public Library; Case Study,"As the volunteer activity has become universal, volunteer activities of public libraries have also grown both quantitatively and qualitatively. In this context, this in-depth case study builds a theoretical background on the volunteer activity of public libraries and examines the volunteer activity management of Kwangjin Public Library including its planning, personal management and administration. By so doing, this study aims at enhancing our understanding on the volunteer activity management of public libraries.",2011
김태희; LeeSangYong,A Study on Improving a Continuing Education for Public Librarians: Focusing on Privatized Public Libraries,Journal of the Korean Biblia Society for Library and Information Science,privatized public library; librarian; continuing education; reeducation; public library,"This study aims to make suggestions on how to effectively provide continuing education for librarians in privatized public libraries. For this end, the study examined concepts and importance of continuing education. It then investigated a current status of education/training procedures provided by Librarian Training Division of the National Library of Korea, and continuing education programs for public librarians implemented by primary regional libraries. It also analyzed continuing education programs of library associations in the U.S. and the U.K. Based on these analyses, the study conducted a survey for a sample of librarians in privatized public libraries, identified problems of continuing education for them, and made recommendations for its improvement.",2014
ChaMiKyeong; 송경진,A Study on the Government Financial Support System to Bridge the Regional Gap of Public Libraries in Korea,Journal of the Korean Biblia Society for Library and Information Science,Public Library Funding; Public Library Revenue; Public Library Management; Library Funding; Regional Gap,"In order to assure universal information access right, the present regional gap of public library infrastructure needs to be examined in Korea. The purpose of this study is to propose an effective government financial support policy to local government to bridge the regional gaps among 16 Korean wide autonomous communities.For that purpose, this study analyzed some of the per library and per capita measures, surface areas, number of librarians, number of books, total budgets and budgets for materials, etc, available in the National Library Statistics System. Then, this study reviewed changes and problems in new government financial support systems which started from 2010. Based on the results, a reformation plan of the current government financial system to national subsidy program was proposed.",2010
"Cho, Chansik; Oh, Ji-Eun; Oh, Su-Jin; Lee, Jung-Hyo; 조미아",A Study on the Standard Manual for Volunteer Activity of Public Libraries,Journal of Information Management,Public Library; Voluntary Activity; Library Voluntary Activity; Library Voluntary Activity; Library Voluntary Standard Manual,"In order to promote the volunteer activity management of public libraries, the need on the standard manual for volunteer activity of public libraries has become inevitably urgent. In this context, this study builds a theoretical background on the volunteer activity of public libraries, on its management and on its standard manual; examines the volunteer activity management of public libraries including its planning, personal management and administration; and classifies them into twelve domains and six work flows based on the literature review and case studies; and develops the standard manual for volunteer activity of public libraries. By so doing, this study aims at enhancing our understanding on the volunteer activity management of public libraries.",2010
"Choi, Sanghee",Analysis of Public Library Programs: U.S. Public Libraries’ Practices,Journal of Korean Library and Information Science Society,Public Library; Library Program; Program Librairian; Content Analysis; U.S.,"Public libraries provide information and cultural programs based on various collections as an information and culture hub in local communities. This study analyzed the cases of cultural programs of public libraries in the United States on “Programing Librarian,” a website operated by the American Library Association to identify the trend of library programs. As a result of the analysis, the traditional program types such as hobbies, culture, and reading are major program types, but the new types as society and life are also appearing. New types of program activities such as social activities and experiences are also identified. In addition, it was analyzed that the tendency to effectively operate cultural programs with minimal cost is also occurring in the United States. As a marketing channel, Facebook was the most preferred method of promoting cultural programs.",2020
"Ae, Kim Sun",Comparing the Efficiency of Public Libraries,Journal of the Korean Library and Information Science Society,Public Library; Evaluation Library; Assessing Efficiency; Data Envelopment Analysis,"This study examined DEA(Data Envelopment Analysis) and how it measures the efficiency of library units. DEA is a useful nonparametric method to evaluate the relative efficiency of a set of decision making units(DMUs) with multiple inputs and outputs. This study evaluated 102 different public libraries utilizing 4 inputs and 4 outputs focussing on the year 2005. For inefficient libraries, the study analysed the potential improvement and the source of inefficiency comparing the peer groups. The result of this study shows that efficiency of public libraries varies in different localities and forms of operation.",2007
강숙희,The Direction for Improvement of Public Library Cooperation in Incheon,Journal of Korean Library and Information Science Society,Public Library; Public Library Cooperation; Library Cooperation; Resource Sharing; Incheon,"This study reviewed the library cooperation of the National Library of Korea and regional public libraries in Korea, and analyzed the actual condition and cooperation program of public libraries in Incheon. The results of this study proposed some directions to improve cooperation among public libraries in Incheon as follows: to strengthen infrastructure of local public libraries; to build up the position of regional representative library and set up effective management of library policy organization authorities; to resolve the problems derived from multiple administrations and harmonize communications among public libraries; to appoint and administer strongpoint libraries; to specialize local libraries concerning characteristics; to expand and improve the existing library cooperative programs such as shared purchasing, interlibrary loan, preservation, cooperation with small libraries etc.",2010
"Yun-Hee, Woo，; Kim, Jong Sung",A Study on the History and General Situation of Public Libraries in Taiwan,Journal of the Korean Library and Information Science Society,Taiwanese Public Library; Taipei Public Library; Asian Library; Asian Public Library; Asian Library History,"This study is to review the history and general condition of Taiwanese public libraries. The first Taiwanese public library was established in 1901 by Japanese resident and the Japanese government. After Independence and moving the seat of government to Taiwan, public libraries was depressed. But since 1979 public libraries have been increased quantitatively because of the construction of culture center and qualitatively because of growth of publications in 1987. Then Taiwan public libraries was developed very rapidly. There are several advantage, including government library’s leadership, professional chief librarian, tradition of field research by librarian, inter-library cooperation system, green library building, and so on.",2014
유병장,A Study of the Public Library Evaluation Index for Customer Satisfaction,Journal of Korean Library and Information Science Society,library service; public library; public library evaluation; evaluation index; Public Service Charter,"The basis of public libraries as a service organization dependes on the customer's needs and expectation. Recently, public libraries have faced an existence crisis attacked from the development of Internet and the various cultural programs of other organizations. Thus, public libraries required continuos effort in order to get the existence necessity from community and customers. This paper investigates and compares with the Public Service Charter provided a customer oriented public service, public library evaluation indexes by the Ministry of Culture & Tourism and Gyeonggi Province, and a public satisfaction survey by Seoul Metropolitan. Thus this paper can provide the basis materials for future public library evaluation.",2004
"Oh, HaeYeon; Kim, Giyeong",A Study on the Perception of Professionalism for Librarians in Korean Public Libraries,Journal of the Korean Society for Information Management,public library; librarians in public libraires; library user; professionalism; perception,"This study attempts to investigate the perception of professionalism of librarians in public libraries and difference in that regard between librarians and library users in terms of branding and brand communication. To achieve this goal, a series of statistical analysis was conducted using a questionnaire survey of librarians in public libraries and library users. The results showed that brand communication between public librarians and library users is inactivated for each element. Therefore, they need external branding that relates to the public libraries and librarians characteristics in professionalism for library users and internal branding that relates to librarian’s professionalism and the expertise of librarians so as to improve brand communication further.",2015
